payment_id,debt_id,customer_id,monto_pago,fecha_pago
76,3150,585,60.33,2025-07-27
77,3210,473,49.32,2024-01-04
78,3038,224,113.28,2025-07-15
79,3001,1170,1487.47,2023-04-11
80,3280,430,762.84,2024-08-19
81,3728,580,580.24,2024-09-08
82,1179,881,925.63,2024-04-03
83,1782,427,1391.6,2024-10-14
84,4011,1791,278.94,2024-12-24
85,1663,1615,271.96,2024-12-05
86,1313,649,163.31,2025-10-09
87,421,1526,1397.0,2025-08-11
88,4408,1909,1065.67,2024-01-15
89,832,26,1127.22,2024-07-30
90,4365,306,1397.7,2024-11-13
91,3676,1038,1334.53,2025-08-02
92,4304,224,149.98,2023-07-15
93,1271,1840,1272.59,2025-03-07
94,4415,1661,430.15,2025-02-27
95,1647,1540,1027.76,2023-11-20
96,1980,1920,624.28,2023-12-17
97,21,184,1375.67,2022-11-26
98,3175,1816,331.17,2022-11-21
99,744,1378,1420.49,2024-03-30
100,4199,1377,491.45,2023-05-16
101,2876,937,1264.86,2024-12-02
102,3253,716,33.59,2023-09-06
103,3976,1716,1492.87,2023-07-10
104,331,1911,1079.94,2024-01-25
105,4456,515,60.42,2025-05-10
106,4114,1290,330.06,2024-01-16
107,1692,174,1079.19,2024-01-12
108,1683,943,780.0,2025-01-18
109,1287,461,898.09,2024-04-05
110,213,443,437.34,2024-12-19
111,437,1660,27.0,2025-10-01
112,3487,559,1392.68,2025-07-13
113,3863,517,631.23,2024-05-30
114,2557,776,48.31,2025-11-14
115,437,743,785.87,2024-10-10
116,3365,717,182.37,2025-11-01
117,1239,1024,53.44,2024-01-18
118,2735,1531,1431.21,2024-09-03
119,781,1055,807.32,2023-01-12
120,4470,1125,312.38,2024-05-13
121,1231,931,954.69,2024-12-07
122,1155,1166,1220.71,2024-06-27
123,1966,616,1059.25,2022-11-27
124,1434,354,744.02,2024-03-26
125,656,1152,1189.38,2025-09-17
126,3250,758,759.27,2023-02-21
127,2917,1733,1158.19,2025-02-21
128,675,727,712.68,2023-10-09
129,2805,1883,257.55,2025-01-11
130,1461,1975,634.7,2025-04-15
131,3521,1295,360.62,2024-07-21
132,1478,1077,1236.77,2025-08-14
133,339,1666,465.45,2022-12-24
134,1166,1322,1102.9,2023-03-09
135,4147,317,261.32,2024-07-28
136,3662,1669,599.5,2025-02-22
137,2209,1227,350.53,2025-08-23
138,4278,853,641.71,2023-06-28
139,4143,366,280.6,2024-06-07
140,3866,528,384.8,2025-11-04
141,1254,324,783.68,2024-09-25
142,3830,182,828.5,2023-05-26
143,1917,1308,1494.77,2023-09-19
144,215,784,712.79,2025-04-12
145,1525,378,1445.62,2023-03-31
146,1422,1247,1419.5,2025-05-27
147,280,1521,1105.55,2024-01-08
148,1501,223,290.4,2024-12-24
149,2448,1951,1267.36,2024-11-19
150,3842,867,194.83,2023-02-05
151,3615,172,814.44,2023-09-18
152,206,1821,133.28,2025-07-08
153,431,1431,294.92,2023-12-13
154,2294,715,997.89,2025-08-30
155,1950,3,1181.04,2023-08-05
156,3964,1724,781.15,2023-12-05
157,2252,1393,940.73,2025-04-17
158,2718,182,477.66,2024-04-03
159,1559,870,915.3,2025-08-27
160,78,1405,578.82,2024-05-22
161,2136,879,821.65,2023-07-23
162,2447,170,489.19,2023-07-20
163,45,1042,745.22,2024-02-12
164,704,1577,46.14,2023-08-16
165,1046,491,170.48,2024-11-07
166,4428,909,1422.69,2025-07-20
167,453,1212,51.12,2024-07-04
168,2150,572,566.46,2025-05-19
169,3503,1182,537.6,2023-08-29
170,2702,745,189.81,2025-10-13
171,3622,682,237.12,2025-09-06
172,3063,113,982.49,2025-10-15
173,1432,1853,1225.06,2022-12-10
174,1852,1323,222.56,2023-10-04
175,1544,775,431.0,2024-09-29
176,553,1102,689.11,2025-07-14
177,653,125,291.6,2025-05-23
178,3574,525,734.93,2024-12-25
179,166,1803,842.91,2025-10-09
180,1392,1199,1054.33,2023-11-08
181,2389,1759,557.39,2025-09-06
182,2533,1581,900.41,2024-01-03
183,1230,388,1317.09,2024-01-22
184,4311,406,1061.93,2024-06-28
185,3444,144,279.02,2024-06-03
186,2357,540,678.69,2023-09-06
187,1875,1994,400.36,2025-05-16
188,1350,629,407.84,2024-04-13
189,913,1578,1152.55,2025-08-01
190,2396,141,664.68,2025-05-27
191,327,1901,215.74,2024-03-01
192,4098,881,468.33,2024-02-13
193,4412,103,536.09,2024-07-18
194,1839,362,585.66,2023-04-15
195,3361,1059,942.87,2025-06-30
196,3568,316,1387.37,2023-05-25
197,1387,1056,762.23,2025-10-07
198,1112,1779,1380.0,2023-03-31
199,3878,1362,188.82,2023-11-23
200,1110,1714,182.69,2023-11-09
201,2104,1601,1181.65,2025-05-27
202,2521,47,911.36,2024-09-08
203,409,325,1172.16,2024-10-08
204,4128,1529,583.03,2025-10-21
205,1436,1685,1182.27,2023-11-30
206,3105,1534,497.11,2024-01-07
207,1106,1343,14.98,2024-02-01
208,3860,1406,1033.46,2024-10-24
209,298,1869,1471.57,2024-12-29
210,1794,1575,650.39,2023-01-09
211,1108,816,380.71,2023-10-30
212,459,602,1370.88,2025-11-08
213,2517,1975,389.4,2025-04-11
214,3972,1865,680.3,2023-07-06
215,788,845,143.97,2022-12-16
216,288,14,869.41,2024-10-10
217,2580,1475,1187.34,2024-09-26
218,361,1413,1388.29,2025-02-07
219,3989,1949,1477.26,2025-06-25
220,2026,1858,1195.33,2025-07-06
221,3440,153,1354.11,2025-01-13
222,937,25,1054.28,2025-01-07
223,217,147,768.58,2023-09-11
224,2804,1193,786.14,2024-07-13
225,4267,1236,1101.32,2024-05-22
226,2655,1286,141.06,2025-07-25
227,2430,1946,877.81,2023-08-01
228,2800,1529,1302.7,2025-08-10
229,1359,1031,1418.0,2024-09-08
230,1317,1660,961.04,2023-09-21
231,1707,1350,113.06,2025-09-23
232,313,149,90.74,2025-05-09
233,3670,696,346.53,2025-09-08
234,1027,148,278.13,2025-06-27
235,1656,492,741.0,2023-05-24
236,408,1551,1373.35,2024-04-14
237,2093,1513,431.9,2023-08-27
238,561,995,803.58,2024-04-25
239,322,632,413.66,2023-10-04
240,512,5,1246.2,2024-02-22
241,2896,410,825.38,2025-05-15
242,293,1163,438.49,2024-10-12
243,1384,487,236.31,2024-10-18
244,1904,1799,68.64,2025-05-30
245,4075,327,356.93,2024-05-26
246,3468,978,481.49,2025-06-10
247,3393,263,1209.36,2023-10-08
248,1216,1970,1417.37,2023-10-09
249,3289,876,760.06,2023-07-02
250,2132,829,806.98,2024-10-30
251,3415,400,448.96,2023-05-28
252,2493,1386,555.44,2024-07-11
253,900,1990,59.9,2024-02-05
254,4255,964,783.93,2025-06-29
255,4067,914,737.84,2024-10-27
256,969,1635,181.11,2023-07-02
257,1109,466,460.64,2022-11-24
258,2075,1358,410.1,2023-03-10
259,1972,1331,1459.37,2025-07-25
260,2278,889,673.09,2022-11-17
261,294,343,50.66,2024-08-29
262,3314,161,1355.42,2024-09-22
263,3591,923,605.75,2023-05-24
264,3910,621,579.99,2023-04-29
265,4156,239,1466.84,2023-05-16
266,2840,1107,1483.41,2024-05-18
267,385,82,1247.89,2023-05-16
268,2805,696,932.97,2023-06-10
269,2227,1789,294.94,2024-06-02
270,3746,1257,1273.85,2022-12-05
271,3659,1027,284.72,2023-11-21
272,1910,295,1101.85,2025-04-19
273,2971,1835,1449.46,2023-11-11
274,1111,1903,853.61,2024-12-24
275,4337,33,1169.51,2023-03-06
276,2692,900,144.68,2023-12-28
277,1000,1684,1425.95,2025-04-30
278,1313,616,705.51,2023-06-03
279,3273,1898,707.38,2023-06-13
280,536,57,550.21,2024-06-07
281,2827,1908,1242.35,2024-01-18
282,2217,1874,63.14,2023-02-28
283,1030,1516,1328.13,2023-03-30
284,1103,1309,669.34,2023-09-25
285,2325,1538,822.28,2024-01-02
286,1595,672,1300.69,2024-02-13
287,1227,1813,194.11,2025-09-21
288,2992,501,788.7,2025-09-13
289,2157,996,984.52,2023-01-22
290,2053,1058,232.8,2023-09-17
291,2616,419,436.58,2025-01-05
292,3437,1475,655.25,2024-08-04
293,2576,1660,574.97,2023-05-31
294,537,646,1363.5,2024-04-09
295,4190,1625,406.27,2023-11-24
296,3947,1620,1356.6,2025-03-06
297,1528,91,1399.49,2023-10-10
298,4493,735,394.89,2024-03-13
299,694,60,1142.72,2024-05-06
300,3658,1810,149.89,2025-08-13
301,1112,139,1347.29,2023-03-19
302,1857,164,187.12,2025-09-07
303,4212,1609,922.4,2025-10-28
304,2530,1895,66.99,2023-02-11
305,1756,1726,1117.83,2024-02-02
306,8,809,1123.29,2025-10-02
307,3274,281,715.05,2023-08-24
308,3513,1397,1490.73,2025-01-10
309,3020,1869,1204.82,2024-08-22
310,4235,576,529.34,2024-06-12
311,616,517,1055.23,2023-12-22
312,4498,1923,331.91,2025-07-21
313,1794,128,811.94,2024-11-27
314,119,431,807.27,2025-04-10
315,3837,1240,416.11,2023-03-15
316,1421,895,948.44,2023-10-23
317,4412,1712,235.35,2025-07-28
318,1385,145,1124.75,2025-07-04
319,852,639,876.8,2023-10-09
320,4019,474,414.65,2025-03-26
321,674,1693,1423.01,2025-06-26
322,3418,823,605.46,2023-12-24
323,2246,1325,413.01,2024-08-14
324,1851,1327,1185.33,2025-02-27
325,1955,1470,111.55,2025-03-31
326,3793,1749,941.55,2025-09-25
327,831,130,1006.43,2024-03-12
328,3780,1921,1490.5,2024-04-17
329,1026,1081,15.59,2023-05-29
330,4284,69,1109.41,2024-09-21
331,1124,1436,919.37,2024-08-16
332,1529,1305,1213.26,2024-08-17
333,2302,341,1279.7,2024-01-27
334,2763,1043,456.26,2025-03-13
335,2364,1609,893.85,2023-07-02
336,3458,402,446.61,2023-08-17
337,1456,1657,91.39,2023-01-20
338,826,496,1272.63,2022-12-08
339,4016,1433,945.69,2022-11-22
340,179,710,329.74,2025-02-12
341,1544,317,783.72,2025-07-02
342,2568,300,1080.02,2023-04-30
343,3077,53,1445.94,2025-04-06
344,3136,90,1303.54,2022-12-31
345,566,1692,334.5,2025-10-29
346,3387,384,895.27,2024-08-10
347,4357,491,1154.06,2024-10-11
348,3291,158,505.25,2024-11-26
349,255,863,920.66,2025-03-08
350,2944,815,1310.07,2023-12-28
351,1074,937,1216.36,2024-05-09
352,1517,1333,897.22,2024-06-15
353,2104,333,535.93,2024-11-19
354,3470,1088,166.59,2024-07-10
355,722,310,1404.62,2024-07-13
356,3058,1553,306.83,2023-02-06
357,2162,1325,1249.45,2025-05-11
358,699,1310,1130.55,2024-11-11
359,671,1533,496.05,2023-02-08
360,2772,1303,799.88,2024-07-02
361,3704,431,115.84,2024-11-05
362,3450,1857,1050.2,2023-06-28
363,1622,1233,351.51,2024-02-16
364,55,822,1387.65,2025-02-06
365,2541,517,362.04,2023-12-26
366,798,1233,1461.15,2025-06-03
367,4171,853,670.12,2025-10-25
368,1023,952,743.08,2025-07-15
369,1748,720,148.9,2023-12-08
370,1093,752,1008.79,2025-06-18
371,4478,718,925.08,2024-02-09
372,4212,999,222.69,2023-10-30
373,155,139,1470.21,2024-07-19
374,3353,1124,1272.32,2025-03-26
375,206,789,1473.16,2024-10-26
376,2891,1632,472.1,2023-08-07
377,4475,1581,1036.27,2022-12-02
378,810,1736,787.99,2024-01-23
379,1106,897,1485.83,2025-01-04
380,2163,1271,1465.97,2023-02-03
381,817,715,1279.52,2024-03-02
382,1050,599,207.07,2022-12-26
383,3699,1274,791.57,2024-09-17
384,3715,1265,1313.12,2023-10-02
385,3544,571,1264.38,2023-12-13
386,2814,1089,405.33,2024-01-03
387,4026,799,1432.09,2025-08-31
388,3795,227,499.59,2025-01-14
389,1035,228,1029.91,2023-04-06
390,1220,1255,702.67,2024-11-22
391,4207,660,111.43,2024-10-06
392,1955,1434,1329.67,2025-01-03
393,940,1172,1477.53,2023-07-05
394,2974,1214,626.2,2025-08-26
395,2549,1159,1065.14,2024-02-23
396,2986,1578,1089.08,2025-08-27
397,3461,1741,480.54,2023-03-06
398,885,903,57.75,2023-05-09
399,1005,140,771.63,2023-10-12
400,1303,545,1309.26,2023-07-06
401,376,1269,145.3,2023-10-19
402,2415,1049,685.6,2025-06-27
403,2868,1455,551.86,2025-03-18
404,3864,1435,290.91,2024-07-01
405,250,86,530.19,2023-03-07
406,2563,747,682.51,2025-01-11
407,4451,375,215.46,2022-12-10
408,1016,1011,767.93,2024-02-13
409,533,1325,365.45,2023-08-06
410,858,1467,508.09,2023-10-10
411,992,1324,716.51,2023-12-05
412,2853,963,600.6,2023-12-16
413,3181,1698,174.52,2023-11-14
414,1374,152,212.89,2025-01-16
415,1380,877,65.37,2024-10-26
416,1479,739,1291.25,2022-11-30
417,441,1731,1364.08,2023-06-16
418,1813,1795,626.18,2024-08-15
419,3574,911,652.44,2023-03-28
420,1294,493,911.73,2023-04-07
421,3318,1553,1455.45,2024-12-10
422,2406,191,427.13,2023-12-21
423,3377,956,1335.67,2024-04-06
424,4356,1210,1378.9,2025-08-08
425,2396,1139,640.51,2023-04-04
426,2597,743,1314.76,2023-06-30
427,3473,639,1202.53,2025-10-22
428,3310,835,1124.9,2025-07-08
429,4007,598,938.45,2024-08-15
430,1519,347,461.88,2025-02-17
431,4447,844,182.28,2024-09-28
432,840,1254,299.87,2023-03-20
433,640,222,1180.74,2025-10-30
434,12,1846,976.67,2023-04-23
435,3733,1890,1215.86,2023-12-07
436,507,1625,620.82,2024-01-24
437,4288,1489,391.64,2023-02-07
438,3784,881,1342.94,2023-02-01
439,577,1904,843.99,2023-05-08
440,3214,296,729.28,2025-06-18
441,3410,1210,1401.99,2023-04-06
442,2226,381,66.1,2024-06-11
443,323,34,1296.72,2023-08-14
444,2462,1233,933.67,2024-03-10
445,36,1116,1431.29,2023-08-15
446,797,596,722.49,2022-12-30
447,1070,1002,443.47,2023-11-18
448,1164,638,113.27,2023-06-29
449,4042,1917,1406.05,2023-10-07
450,1061,1873,871.46,2024-11-02
451,2938,1461,485.19,2025-11-16
452,1194,1853,427.83,2023-09-07
453,1104,1043,484.89,2025-10-02
454,1671,510,379.22,2024-01-01
455,4368,786,901.79,2023-02-27
456,2125,558,1389.2,2025-07-25
457,2011,84,888.4,2025-05-10
458,1876,22,369.06,2023-05-19
459,4219,724,404.61,2023-05-17
460,589,1871,62.82,2024-06-17
461,841,870,1115.28,2023-04-07
462,4500,1197,41.65,2024-10-10
463,524,804,210.27,2024-04-11
464,3008,28,1241.99,2025-06-13
465,4057,946,621.91,2025-08-30
466,2129,1025,150.93,2025-01-11
467,3545,1139,1295.9,2023-07-28
468,2797,1182,1383.56,2023-03-31
469,4404,1824,710.43,2023-04-23
470,316,727,847.25,2025-09-22
471,3285,692,1470.28,2024-08-27
472,142,1221,1134.01,2023-08-01
473,3316,1291,732.13,2024-12-15
474,1073,1449,837.98,2024-11-23
475,3095,1903,896.32,2025-10-29
476,2854,648,666.88,2023-04-21
477,1458,306,1277.64,2025-01-13
478,3479,1436,1049.61,2025-04-18
479,313,1388,67.14,2024-09-27
480,1645,1425,101.7,2024-06-11
481,3546,126,543.43,2022-12-09
482,1509,1066,161.75,2023-11-15
483,519,1540,1352.93,2024-07-05
484,449,1639,399.01,2023-12-30
485,1944,1124,721.11,2024-09-22
486,3346,1206,33.04,2024-07-27
487,3839,1201,472.45,2023-01-14
488,4328,1747,57.27,2023-09-13
489,1448,1479,742.05,2024-07-11
490,1161,662,66.07,2025-11-05
491,368,80,284.69,2023-08-19
492,2812,1118,1415.34,2023-07-03
493,2238,1514,1025.65,2024-03-20
494,730,1244,466.41,2024-05-03
495,2548,1081,966.77,2025-02-05
496,3466,1113,291.72,2025-05-02
497,4232,334,589.72,2023-01-16
498,429,76,1159.01,2024-08-10
499,1613,898,931.14,2024-01-05
500,366,1248,1226.72,2024-01-17
501,577,1084,1034.52,2023-04-25
502,2682,903,1438.49,2023-09-06
503,899,478,866.52,2025-03-26
504,1655,53,766.8,2023-06-12
505,4155,886,494.35,2025-08-24
506,1270,1535,1167.62,2024-08-09
507,3151,311,501.52,2024-05-12
508,2187,706,1380.37,2025-10-12
509,2086,1390,998.54,2023-04-04
510,2392,745,713.67,2023-08-10
511,1460,781,701.9,2025-07-09
512,503,1296,227.94,2025-08-13
513,962,1560,85.63,2025-04-03
514,964,792,1485.73,2023-09-19
515,4321,1174,1093.04,2022-11-26
516,1788,758,792.16,2023-02-21
517,2561,1049,244.81,2023-04-27
518,2000,970,271.35,2022-11-17
519,4265,1672,910.92,2022-12-22
520,3868,1948,899.73,2025-02-28
521,654,1130,1302.14,2023-11-03
522,3663,1117,1062.38,2023-05-20
523,1445,356,454.43,2025-04-09
524,1095,1813,750.08,2025-11-14
525,58,569,1332.77,2023-12-04
526,247,1328,1280.81,2024-03-24
527,4441,1825,562.56,2023-01-07
528,179,482,989.19,2024-10-16
529,3638,267,745.66,2024-10-27
530,1845,27,1166.2,2025-05-25
531,1947,1936,1180.62,2023-08-05
532,3904,1258,1081.1,2025-02-26
533,3517,1552,111.38,2023-04-05
534,2613,300,1272.57,2025-06-26
535,666,238,1284.94,2024-07-28
536,1501,1533,1421.8,2025-04-01
537,4444,957,280.25,2023-12-13
538,16,1910,98.36,2024-11-18
539,2638,1503,609.5,2024-03-15
540,3569,1510,228.31,2025-03-15
541,503,766,22.48,2023-02-04
542,36,1689,1102.49,2023-05-25
543,2247,168,608.83,2024-04-09
544,1296,544,1224.78,2023-12-27
545,3234,484,1290.42,2023-10-05
546,2407,461,1393.0,2023-07-26
547,1713,609,765.47,2023-08-30
548,2318,102,576.86,2025-03-12
549,3309,1243,1134.89,2024-08-08
550,2765,1705,587.33,2023-12-08
551,923,1157,1340.85,2024-06-27
552,263,475,472.43,2025-05-04
553,566,1270,1395.99,2024-05-07
554,2142,1044,876.94,2025-11-11
555,4054,531,1190.47,2023-08-09
556,2063,1847,670.06,2024-10-12
557,1472,403,103.44,2025-08-23
558,1388,1391,271.05,2023-10-30
559,1113,1746,1346.58,2025-06-12
560,1051,1507,664.46,2023-04-19
561,1728,1104,848.75,2024-12-13
562,3888,964,1415.52,2023-08-22
563,2975,677,186.74,2025-04-19
564,3493,1939,1115.5,2024-12-15
565,901,146,77.39,2023-11-12
566,3660,1820,1385.7,2023-06-11
567,2606,880,114.25,2023-04-05
568,4046,703,854.19,2022-12-01
569,1553,1572,1055.22,2023-09-04
570,1797,99,453.91,2024-04-07
571,2863,830,718.76,2024-07-26
572,519,53,1456.64,2023-11-10
573,3611,532,1455.98,2023-11-22
574,3133,1285,378.15,2024-08-01
575,1226,572,959.87,2024-02-05
576,4022,1749,280.07,2025-11-03
577,2138,1101,702.39,2023-04-30
578,3677,239,447.43,2024-03-29
579,3529,1479,1431.89,2024-08-12
580,1026,1025,990.06,2024-11-23
581,479,387,1347.09,2024-09-18
582,2886,233,1093.4,2025-02-02
583,1249,1107,1138.37,2024-06-22
584,1924,1955,118.32,2025-07-22
585,799,1860,291.14,2025-06-10
586,1256,479,76.94,2025-05-01
587,1501,83,121.69,2022-12-14
588,1558,1730,1041.14,2024-07-22
589,3015,315,611.24,2025-01-31
590,3657,1115,171.6,2023-04-25
591,3607,574,1135.78,2024-09-27
592,2469,269,1017.0,2023-05-09
593,1311,71,111.16,2025-01-01
594,661,1835,532.14,2025-09-15
595,4479,809,291.08,2025-09-23
596,3622,1342,212.32,2025-04-19
597,1511,1352,747.69,2023-12-31
598,2785,118,1058.2,2024-07-10
599,443,585,989.58,2025-04-19
600,3491,606,784.4,2025-09-27
601,1810,448,449.99,2025-02-23
602,2486,537,1296.87,2024-04-12
603,2490,147,558.33,2025-02-18
604,4230,267,36.21,2024-01-21
605,2509,1082,284.86,2025-01-29
606,2559,1168,547.8,2024-04-29
607,2733,495,1374.21,2023-03-03
608,2869,282,935.09,2025-09-12
609,2692,72,525.44,2025-10-14
610,726,606,931.28,2023-11-23
611,1932,1585,239.34,2025-01-15
612,2633,467,1325.13,2025-08-12
613,3149,582,533.21,2024-05-04
614,593,124,474.91,2024-01-11
615,1628,1647,461.39,2025-06-25
616,2257,1423,1351.35,2023-06-07
617,1902,1655,691.82,2023-08-15
618,252,1016,382.69,2023-03-05
619,780,98,1402.8,2024-08-31
620,3912,692,130.71,2025-03-28
621,2711,1146,1479.35,2023-01-10
622,794,1456,961.79,2023-01-10
623,3121,415,1429.42,2024-05-01
624,2704,1005,95.88,2023-03-02
625,1366,472,115.61,2025-08-27
626,3286,796,721.05,2024-06-15
627,2467,1434,486.79,2023-07-09
628,336,19,1068.69,2025-10-04
629,356,882,953.07,2025-06-24
630,2432,890,31.08,2023-10-04
631,3162,1041,1062.58,2025-11-13
632,4008,167,706.63,2024-08-26
633,460,369,1421.99,2023-11-06
634,2778,846,245.54,2023-08-30
635,4283,716,159.19,2025-08-24
636,3420,1786,1176.14,2024-04-26
637,2580,1629,399.45,2025-09-02
638,3260,583,1302.15,2024-03-29
639,2688,141,350.24,2024-05-15
640,2422,1048,324.81,2024-09-25
641,2901,1097,1110.67,2024-09-27
642,424,353,1478.58,2024-01-23
643,3178,90,138.19,2024-07-24
644,2042,1239,207.38,2025-02-06
645,702,151,1303.21,2024-01-09
646,1952,142,94.9,2023-07-17
647,2668,629,1433.54,2023-07-05
648,4207,1014,310.59,2023-03-31
649,1790,1702,131.13,2024-11-11
650,139,1374,534.37,2025-07-25
651,3420,4,13.08,2025-08-10
652,2440,1101,1012.28,2024-10-26
653,1277,447,1205.79,2025-02-17
654,907,1411,1088.68,2022-12-02
655,234,1177,903.01,2024-12-20
656,18,1170,109.05,2024-07-07
657,4409,41,894.99,2023-11-14
658,638,1947,248.23,2024-01-29
659,387,1739,1095.56,2023-11-22
660,1449,147,401.54,2025-05-14
661,1561,199,49.23,2024-01-18
662,3057,880,522.37,2023-01-19
663,1300,9,725.55,2024-02-19
664,3001,457,1385.35,2023-05-20
665,2982,1058,1389.79,2025-06-25
666,4064,973,399.31,2024-01-02
667,2184,1970,1246.61,2023-05-13
668,4298,282,511.46,2024-09-12
669,48,439,855.65,2024-08-31
670,303,1061,627.67,2022-12-27
671,3954,1650,648.44,2025-01-18
672,1962,1966,116.24,2023-02-08
673,1261,1589,288.24,2023-09-13
674,3000,1134,221.12,2024-10-14
675,1654,447,463.37,2024-01-05
676,145,492,806.31,2024-10-04
677,345,1443,545.9,2023-09-03
678,229,1734,617.99,2025-10-10
679,1259,1623,433.8,2023-11-25
680,3262,939,174.4,2024-09-07
681,3316,872,489.47,2022-12-31
682,3190,1166,1323.76,2024-08-26
683,1128,885,444.83,2025-03-16
684,3798,1306,532.78,2025-10-27
685,1128,198,1475.24,2023-12-11
686,430,1912,410.77,2025-02-04
687,4421,179,1052.84,2025-09-02
688,1259,1533,1174.54,2025-01-12
689,1908,713,1254.42,2023-03-23
690,2894,1453,810.23,2025-06-19
691,2613,624,686.53,2023-11-10
692,2786,1295,62.41,2025-05-01
693,973,1739,1472.87,2025-04-01
694,2422,116,1441.05,2024-06-03
695,3946,283,700.21,2023-03-03
696,2093,1094,91.13,2025-03-28
697,3371,599,121.82,2024-04-20
698,2658,1223,932.38,2023-09-26
699,4369,586,783.35,2024-11-21
700,3286,1719,577.03,2023-01-30
701,2056,583,1476.9,2025-03-25
702,951,1250,634.88,2022-11-28
703,2780,532,1084.86,2024-06-15
704,3399,855,242.1,2024-06-09
705,1499,1533,1318.81,2023-10-25
706,227,556,1245.82,2023-01-06
707,3383,1003,294.49,2024-12-03
708,4456,85,134.72,2023-03-10
709,3522,400,898.16,2025-09-29
710,3865,344,556.09,2023-09-02
711,2323,335,1172.78,2023-12-09
712,364,1379,219.17,2025-09-29
713,3514,1253,1099.0,2025-08-13
714,405,119,1288.5,2025-06-05
715,2988,1917,408.9,2023-11-19
716,412,1127,1183.7,2024-07-12
717,2011,5,1342.59,2025-04-20
718,3280,1263,1177.7,2023-12-01
719,3077,193,1401.0,2023-11-01
720,1617,1820,1454.53,2024-10-13
721,3382,1603,1384.3,2023-01-03
722,1090,1652,67.8,2025-01-28
723,3432,1286,442.53,2025-03-05
724,4219,1521,1182.95,2024-11-07
725,4023,461,805.87,2025-03-04
726,1690,1720,820.26,2023-08-12
727,3298,1369,1352.69,2024-05-12
728,1416,1987,222.04,2025-10-16
729,1352,591,186.29,2024-03-28
730,3477,887,1223.47,2024-11-05
731,3216,280,1334.46,2023-03-13
732,3445,328,399.81,2025-06-10
733,3013,1877,694.22,2024-08-21
734,1641,99,1173.71,2025-10-31
735,4300,1396,381.3,2024-09-27
736,3152,1467,194.96,2022-12-22
737,1522,262,594.91,2024-08-19
738,342,1445,125.68,2022-12-19
739,3566,1023,1273.25,2025-01-14
740,3186,542,395.07,2023-06-01
741,3901,227,259.4,2023-07-10
742,3657,407,210.11,2023-01-10
743,1632,417,1449.47,2025-10-26
744,2693,1940,1043.74,2025-09-11
745,3483,897,815.69,2025-04-05
746,4208,1739,150.28,2023-02-23
747,2916,1069,209.32,2023-11-14
748,4488,371,95.35,2025-10-02
