gestion_id,customer_id,resultado,canal,fecha_gestion
61,1682,Número incorrecto,WhatsApp,2024-02-27
62,1915,No responde,Llamada,2025-04-13
63,1190,Promesa de pago,WhatsApp,2024-02-11
64,1695,Número incorrecto,Llamada,2024-12-28
65,194,Número incorrecto,Llamada,2025-07-07
66,1522,Promesa de pago,SMS,2025-10-13
67,955,Contactado,Email,2025-02-14
68,1438,Contactado,WhatsApp,2024-11-19
69,18,No responde,WhatsApp,2025-03-10
70,545,Contactado,Llamada,2025-04-24
71,1701,No responde,WhatsApp,2024-04-08
72,1373,Contactado,Llamada,2024-02-22
73,1512,Contactado,WhatsApp,2024-02-09
74,1236,Contactado,Llamada,2024-04-05
75,1869,No responde,Llamada,2025-05-21
76,1938,No responde,Email,2024-05-12
77,940,Contactado,Llamada,2025-06-25
78,926,Promesa de pago,Llamada,2025-05-06
79,1762,No responde,Llamada,2024-02-24
80,358,Promesa de pago,Email,2024-04-08
81,1272,Número incorrecto,SMS,2024-09-13
82,822,No responde,Llamada,2024-12-04
83,1955,Contactado,SMS,2024-11-28
84,316,Contactado,Llamada,2025-01-19
85,1141,Promesa de pago,Email,2024-08-08
86,1149,Número incorrecto,Llamada,2024-12-22
87,1945,Contactado,SMS,2025-09-30
88,1804,Promesa de pago,Llamada,2024-11-29
89,549,Número incorrecto,Email,2024-10-16
90,1851,No responde,Llamada,2025-06-22
91,54,Número incorrecto,SMS,2023-12-12
92,968,Promesa de pago,SMS,2024-04-11
93,1428,Contactado,SMS,2023-12-23
94,1076,Número incorrecto,WhatsApp,2024-07-10
95,1602,Promesa de pago,WhatsApp,2025-07-17
96,1099,Promesa de pago,WhatsApp,2024-04-07
97,1830,Número incorrecto,WhatsApp,2025-05-30
98,417,No responde,Llamada,2025-08-07
99,1969,Contactado,WhatsApp,2024-03-03
100,1867,Promesa de pago,Email,2025-08-22
101,1452,Número incorrecto,SMS,2025-10-08
102,1330,Promesa de pago,SMS,2024-10-26
103,229,Promesa de pago,WhatsApp,2025-04-26
104,573,Promesa de pago,Llamada,2025-08-06
105,1045,Número incorrecto,SMS,2023-11-22
106,229,Promesa de pago,SMS,2024-12-18
107,945,Contactado,Email,2024-12-12
108,971,Contactado,Email,2025-07-15
109,408,Contactado,Email,2023-11-21
110,1622,Número incorrecto,WhatsApp,2024-11-21
111,955,No responde,Email,2024-05-16
112,1636,Promesa de pago,SMS,2025-10-23
113,145,Promesa de pago,SMS,2024-02-25
114,1376,Número incorrecto,WhatsApp,2025-01-21
115,787,Promesa de pago,Email,2025-11-08
116,1896,Contactado,WhatsApp,2024-06-23
117,1851,Número incorrecto,Email,2025-01-28
118,1534,No responde,Llamada,2025-04-22
119,767,Contactado,WhatsApp,2025-08-13
120,1671,Número incorrecto,Llamada,2024-12-27
121,1649,Promesa de pago,Llamada,2023-12-10
122,453,Promesa de pago,Llamada,2024-12-03
123,905,Promesa de pago,SMS,2025-03-07
124,1618,Promesa de pago,Email,2025-05-04
125,1877,Número incorrecto,Email,2024-05-28
126,1761,Promesa de pago,Llamada,2025-09-03
127,1362,Contactado,WhatsApp,2025-01-05
128,1925,Contactado,Llamada,2024-06-23
129,489,Promesa de pago,WhatsApp,2024-07-15
130,1494,Promesa de pago,WhatsApp,2025-09-03
131,1509,Contactado,WhatsApp,2025-03-10
132,1128,Número incorrecto,Llamada,2024-03-17
133,804,Número incorrecto,SMS,2024-09-06
134,1682,Promesa de pago,Email,2025-09-25
135,156,Número incorrecto,SMS,2025-04-24
136,309,Número incorrecto,SMS,2025-07-11
137,678,Promesa de pago,Email,2024-06-07
138,50,Promesa de pago,Llamada,2024-09-13
139,751,Número incorrecto,Llamada,2023-12-19
140,827,Promesa de pago,SMS,2024-07-16
141,1831,Número incorrecto,Llamada,2024-07-10
142,820,Número incorrecto,WhatsApp,2024-08-09
143,996,No responde,Email,2025-03-09
144,110,Número incorrecto,Llamada,2024-04-14
145,30,No responde,Email,2024-12-31
146,564,No responde,Email,2024-07-23
147,1808,No responde,SMS,2025-08-12
148,100,No responde,Llamada,2024-10-04
149,862,Número incorrecto,Llamada,2024-09-15
150,234,Número incorrecto,Llamada,2023-12-31
151,1912,No responde,Llamada,2024-03-06
152,1100,Número incorrecto,WhatsApp,2025-02-09
153,1039,Contactado,Llamada,2025-05-23
154,34,Promesa de pago,Email,2024-06-21
155,479,Promesa de pago,Email,2025-01-06
156,38,Promesa de pago,SMS,2025-09-09
157,1970,Promesa de pago,Llamada,2024-04-01
158,1662,Promesa de pago,Email,2025-04-17
159,534,Contactado,Email,2024-04-01
160,36,Contactado,SMS,2025-02-21
161,1317,Contactado,Email,2024-12-06
162,767,Promesa de pago,WhatsApp,2023-12-02
163,529,Promesa de pago,WhatsApp,2025-01-24
164,279,Número incorrecto,SMS,2024-11-07
165,695,Contactado,Email,2024-01-12
166,1152,Contactado,Llamada,2025-02-14
167,758,Contactado,WhatsApp,2025-02-04
168,1885,Contactado,WhatsApp,2025-05-19
169,556,Número incorrecto,Email,2025-07-23
170,780,No responde,WhatsApp,2025-09-15
171,994,Contactado,Email,2025-09-27
172,206,No responde,Llamada,2025-09-02
173,1236,Promesa de pago,Email,2025-03-04
174,1193,Promesa de pago,Email,2024-02-15
175,1679,Promesa de pago,Llamada,2025-10-30
176,1489,Contactado,Llamada,2025-04-09
177,1219,Número incorrecto,Llamada,2024-09-07
178,1924,Contactado,Email,2023-11-29
179,1289,Promesa de pago,SMS,2025-02-01
180,1954,No responde,Email,2025-08-16
181,67,Promesa de pago,WhatsApp,2025-06-12
182,1189,Promesa de pago,WhatsApp,2024-12-01
183,1899,Contactado,Llamada,2024-12-17
184,568,Número incorrecto,Llamada,2025-10-01
185,1326,Contactado,SMS,2024-01-07
186,1363,Promesa de pago,Email,2025-07-09
187,8,Número incorrecto,Llamada,2024-08-28
188,662,Número incorrecto,Llamada,2024-03-15
189,1118,No responde,WhatsApp,2025-08-05
190,1569,No responde,Email,2024-04-04
191,324,No responde,WhatsApp,2025-04-30
192,886,Número incorrecto,Email,2024-02-25
193,458,No responde,SMS,2024-03-14
194,221,Número incorrecto,SMS,2025-05-02
195,1821,Contactado,SMS,2025-09-24
196,677,No responde,Llamada,2025-09-24
197,1501,Promesa de pago,Llamada,2024-01-01
198,696,No responde,SMS,2025-03-17
199,1652,Contactado,SMS,2023-12-25
200,693,Contactado,Llamada,2025-02-02
201,1649,Promesa de pago,SMS,2025-01-07
202,1056,Contactado,SMS,2024-03-07
203,1868,Promesa de pago,Email,2025-09-26
204,388,Número incorrecto,Llamada,2025-07-12
205,940,Promesa de pago,SMS,2024-12-14
206,333,No responde,WhatsApp,2025-03-14
207,1339,Contactado,WhatsApp,2024-11-16
208,999,Contactado,SMS,2024-05-22
209,399,No responde,WhatsApp,2024-07-05
210,590,Número incorrecto,Llamada,2024-01-22
211,420,Contactado,Email,2025-08-21
212,216,Número incorrecto,Email,2024-03-06
213,1977,Número incorrecto,Llamada,2025-04-20
214,165,No responde,Email,2024-08-07
215,1758,Promesa de pago,SMS,2023-12-13
216,1984,Contactado,SMS,2025-10-15
217,129,Contactado,Llamada,2024-05-01
218,1475,Contactado,Llamada,2024-01-31
219,1845,Promesa de pago,Email,2024-12-17
220,181,Número incorrecto,Llamada,2025-01-17
221,1675,Promesa de pago,Email,2024-07-29
222,1098,Promesa de pago,WhatsApp,2024-02-01
223,431,No responde,WhatsApp,2025-07-26
224,264,Número incorrecto,Email,2024-11-25
225,1367,Promesa de pago,Email,2024-02-01
226,155,Promesa de pago,Llamada,2024-06-09
227,1076,Contactado,SMS,2025-05-12
228,1911,Contactado,WhatsApp,2025-07-21
229,974,Promesa de pago,WhatsApp,2024-01-02
230,621,Número incorrecto,Email,2025-01-25
231,569,No responde,Llamada,2024-05-18
232,1535,Contactado,Email,2024-09-17
233,1916,Promesa de pago,Email,2025-05-16
234,1981,No responde,Email,2024-12-05
235,750,Promesa de pago,Email,2023-12-30
236,1279,Número incorrecto,WhatsApp,2024-11-13
237,1667,Número incorrecto,Llamada,2025-09-07
238,69,Promesa de pago,WhatsApp,2025-02-24
239,1635,No responde,WhatsApp,2024-03-24
240,1308,Contactado,Llamada,2024-02-01
241,125,Número incorrecto,SMS,2025-03-08
242,1253,Contactado,Email,2024-10-16
243,792,No responde,WhatsApp,2025-07-23
244,1146,Número incorrecto,WhatsApp,2025-03-16
245,377,Contactado,WhatsApp,2025-10-30
246,470,No responde,SMS,2025-03-29
247,1105,No responde,SMS,2025-06-01
248,1832,Promesa de pago,WhatsApp,2025-01-12
249,1832,Número incorrecto,WhatsApp,2025-02-15
250,1767,Promesa de pago,Email,2025-01-02
251,1027,Promesa de pago,Email,2023-12-22
252,677,Número incorrecto,WhatsApp,2023-12-02
253,572,Contactado,Email,2025-07-17
254,892,Contactado,Email,2025-01-28
255,1014,No responde,Llamada,2025-09-08
256,929,Promesa de pago,Email,2025-02-01
257,1753,Número incorrecto,WhatsApp,2025-08-11
258,608,Promesa de pago,WhatsApp,2025-06-16
259,371,Contactado,Email,2024-02-18
260,1533,Promesa de pago,SMS,2025-01-31
261,1801,Contactado,Llamada,2024-10-27
262,664,Promesa de pago,SMS,2025-06-09
263,1897,Promesa de pago,Email,2024-04-26
264,1124,No responde,SMS,2024-10-20
265,1956,No responde,Llamada,2024-01-22
266,1658,Contactado,Email,2025-02-27
267,1487,Contactado,Llamada,2024-05-28
268,43,Contactado,SMS,2024-02-01
269,1987,Contactado,WhatsApp,2025-06-18
270,762,Contactado,Llamada,2024-10-25
271,1279,Contactado,Llamada,2024-03-16
272,363,No responde,Email,2024-02-26
273,1857,Número incorrecto,WhatsApp,2025-09-09
274,774,Promesa de pago,SMS,2024-03-29
275,331,Promesa de pago,Llamada,2024-11-09
276,1797,Promesa de pago,Email,2023-12-03
277,160,Promesa de pago,WhatsApp,2024-06-04
278,1466,No responde,SMS,2025-04-26
279,1376,Contactado,SMS,2023-12-10
280,660,Número incorrecto,Llamada,2024-10-25
281,1860,No responde,SMS,2023-11-29
282,1509,Promesa de pago,Llamada,2024-08-16
283,1350,No responde,Email,2025-08-11
284,1968,Promesa de pago,Llamada,2024-08-05
285,1450,Contactado,Llamada,2025-07-17
286,1213,Promesa de pago,Llamada,2024-07-21
287,1957,Promesa de pago,Email,2024-02-26
288,1551,Promesa de pago,Email,2024-02-10
289,975,Número incorrecto,WhatsApp,2025-08-12
290,711,No responde,Llamada,2024-11-08
291,1478,No responde,Email,2025-02-17
292,1881,Contactado,Llamada,2024-03-14
293,17,Promesa de pago,WhatsApp,2025-04-03
294,1671,No responde,Llamada,2025-11-03
295,667,Promesa de pago,Llamada,2025-03-04
296,1641,Contactado,WhatsApp,2025-05-01
297,601,Contactado,Llamada,2025-09-07
298,914,Número incorrecto,WhatsApp,2025-06-10
299,300,Número incorrecto,SMS,2024-02-25
300,698,Promesa de pago,SMS,2023-11-21
301,1729,No responde,Llamada,2025-05-21
302,1428,Número incorrecto,WhatsApp,2025-06-05
303,1578,Número incorrecto,WhatsApp,2025-01-16
304,674,Promesa de pago,WhatsApp,2024-10-13
305,1843,No responde,SMS,2023-11-23
306,1484,No responde,Email,2024-07-24
307,1101,No responde,WhatsApp,2024-05-22
308,887,Contactado,SMS,2024-03-28
309,1140,Promesa de pago,SMS,2025-10-02
310,1932,Contactado,SMS,2024-07-07
311,1371,Número incorrecto,Email,2025-06-01
312,466,Contactado,WhatsApp,2024-12-23
313,1314,Número incorrecto,SMS,2025-03-18
314,866,Número incorrecto,WhatsApp,2024-11-08
315,200,Número incorrecto,SMS,2025-01-30
316,347,Promesa de pago,WhatsApp,2024-02-01
317,606,Promesa de pago,WhatsApp,2024-01-24
318,623,No responde,Llamada,2024-12-24
319,1965,No responde,SMS,2025-01-11
320,1929,No responde,SMS,2025-05-25
321,1791,Número incorrecto,Llamada,2024-02-11
322,367,No responde,Email,2023-12-01
323,246,Número incorrecto,WhatsApp,2024-06-09
324,1827,Número incorrecto,Email,2025-06-13
325,992,Contactado,WhatsApp,2025-10-05
326,376,Número incorrecto,SMS,2024-10-23
327,138,Número incorrecto,Llamada,2024-11-10
328,1504,Número incorrecto,Email,2025-10-18
329,1379,No responde,SMS,2025-03-21
330,41,No responde,Email,2025-06-07
331,260,Contactado,Email,2024-11-26
332,892,Contactado,WhatsApp,2024-06-26
333,690,No responde,SMS,2025-06-09
334,1794,Contactado,SMS,2025-09-28
335,216,Número incorrecto,WhatsApp,2025-08-13
336,1600,Promesa de pago,SMS,2024-07-16
337,861,Número incorrecto,WhatsApp,2024-11-19
338,936,No responde,SMS,2025-11-09
339,678,Contactado,WhatsApp,2025-07-07
340,741,Contactado,Email,2025-09-05
341,1804,Promesa de pago,WhatsApp,2025-04-05
342,187,No responde,WhatsApp,2024-08-01
343,703,Contactado,SMS,2024-09-30
344,309,Promesa de pago,Email,2024-01-16
345,1639,Contactado,Llamada,2025-03-12
346,528,Número incorrecto,Llamada,2024-11-04
347,780,Promesa de pago,Llamada,2025-04-09
348,531,Número incorrecto,Llamada,2025-05-01
349,1519,No responde,Email,2025-02-24
350,893,No responde,SMS,2025-02-07
351,1598,Número incorrecto,Email,2024-08-30
352,1019,Contactado,Llamada,2024-11-17
353,513,No responde,Llamada,2024-12-15
354,1125,Número incorrecto,SMS,2025-07-03
355,985,Promesa de pago,Llamada,2025-10-02
356,674,Promesa de pago,WhatsApp,2024-04-10
357,366,Promesa de pago,SMS,2024-09-20
358,1503,Promesa de pago,Email,2024-05-12
359,990,Contactado,Email,2025-01-31
360,509,Contactado,WhatsApp,2025-05-23
361,1122,Número incorrecto,Llamada,2025-01-11
362,1420,No responde,WhatsApp,2025-01-03
363,1842,Contactado,Email,2024-09-12
364,747,Contactado,WhatsApp,2024-03-06
365,874,Número incorrecto,Llamada,2025-07-24
366,1308,Contactado,Email,2025-01-09
367,1397,Número incorrecto,SMS,2025-07-24
368,1382,Contactado,Llamada,2024-12-09
369,335,Contactado,WhatsApp,2024-09-19
370,1302,Contactado,Email,2025-06-04
371,1817,Promesa de pago,Llamada,2024-06-21
372,1522,Contactado,Llamada,2025-06-09
373,662,No responde,SMS,2025-08-18
374,1743,No responde,Llamada,2024-07-30
375,110,No responde,Llamada,2025-03-13
376,735,No responde,Llamada,2024-12-05
377,1355,No responde,Llamada,2024-05-29
378,278,Promesa de pago,Email,2024-11-09
379,723,Contactado,Email,2025-11-04
380,626,No responde,Llamada,2025-07-01
381,122,Número incorrecto,WhatsApp,2024-12-26
382,1628,Contactado,Email,2025-07-27
383,753,No responde,Llamada,2024-07-24
384,1538,Número incorrecto,Llamada,2023-12-22
385,7,Promesa de pago,SMS,2024-06-23
386,166,Contactado,Llamada,2024-04-09
387,986,Número incorrecto,SMS,2024-04-10
388,1978,Contactado,Email,2024-11-23
389,1574,Contactado,WhatsApp,2024-06-29
390,878,Número incorrecto,Llamada,2025-02-21
391,1462,Promesa de pago,Email,2025-11-06
392,816,Promesa de pago,SMS,2025-04-17
393,1222,No responde,Llamada,2025-04-06
394,1953,Contactado,SMS,2025-03-24
395,930,Número incorrecto,Llamada,2025-07-29
396,1252,No responde,Email,2025-09-08
397,230,No responde,Llamada,2025-10-02
398,531,Contactado,WhatsApp,2024-07-06
399,1254,Número incorrecto,Llamada,2025-04-23
400,1514,Contactado,SMS,2024-05-16
401,1063,No responde,Email,2025-06-09
402,1797,Número incorrecto,Email,2024-12-11
403,287,Contactado,SMS,2024-11-26
404,1818,No responde,Llamada,2024-05-31
405,1345,Promesa de pago,SMS,2024-02-20
406,137,Número incorrecto,SMS,2025-10-01
407,932,No responde,SMS,2025-04-23
408,999,Número incorrecto,WhatsApp,2024-06-03
409,1482,Contactado,SMS,2025-08-06
410,852,Número incorrecto,Email,2024-07-16
411,1934,Promesa de pago,Email,2025-08-19
412,511,Contactado,Email,2025-06-27
413,891,No responde,SMS,2025-05-27
414,342,Número incorrecto,Llamada,2024-01-06
415,261,Promesa de pago,Llamada,2025-02-10
416,1443,No responde,Llamada,2024-07-22
417,1242,Promesa de pago,Email,2024-05-09
418,1721,Número incorrecto,WhatsApp,2024-08-12
419,1711,Contactado,WhatsApp,2024-05-27
420,1878,No responde,Llamada,2024-09-01
421,649,Número incorrecto,Llamada,2024-01-02
422,817,Número incorrecto,SMS,2024-02-29
423,1508,Número incorrecto,SMS,2024-02-28
424,98,Número incorrecto,SMS,2024-01-07
425,871,No responde,Email,2025-10-12
426,795,Número incorrecto,SMS,2024-06-01
427,1151,Contactado,WhatsApp,2024-11-23
428,57,Número incorrecto,Email,2024-08-03
429,1254,No responde,SMS,2025-03-22
430,1549,Número incorrecto,WhatsApp,2025-01-17
431,709,Número incorrecto,Email,2025-08-28
432,1876,Contactado,Email,2024-10-15
433,1497,Número incorrecto,SMS,2024-10-23
434,527,Contactado,Llamada,2024-06-07
435,22,Contactado,Email,2025-01-27
436,666,Contactado,WhatsApp,2024-05-09
437,939,Promesa de pago,SMS,2025-04-02
438,1248,No responde,Llamada,2024-08-21
439,1270,No responde,Email,2025-06-09
440,156,No responde,SMS,2024-10-26
441,53,Promesa de pago,Llamada,2024-04-28
442,183,Número incorrecto,WhatsApp,2024-03-26
443,469,Contactado,Email,2024-05-11
444,208,Promesa de pago,Email,2024-08-03
445,174,Contactado,Llamada,2024-05-29
446,1245,Contactado,WhatsApp,2025-02-14
447,1204,Promesa de pago,WhatsApp,2025-07-14
448,281,No responde,SMS,2025-07-02
449,63,No responde,Email,2025-08-25
450,1303,Promesa de pago,Email,2025-03-23
451,393,Contactado,Llamada,2025-01-05
452,1313,Número incorrecto,Email,2025-01-07
453,1302,Número incorrecto,Llamada,2024-07-29
454,274,Número incorrecto,Email,2024-10-27
455,240,Contactado,WhatsApp,2024-12-08
456,1412,Promesa de pago,Email,2024-10-05
457,1392,Contactado,Email,2024-02-04
458,382,No responde,SMS,2025-08-24
459,1614,Número incorrecto,SMS,2025-05-28
460,321,Contactado,SMS,2025-05-25
461,1548,Número incorrecto,WhatsApp,2025-05-23
462,1059,Número incorrecto,WhatsApp,2024-04-16
463,585,No responde,WhatsApp,2025-04-30
464,1945,No responde,Llamada,2024-02-19
465,1645,Número incorrecto,Email,2024-10-10
466,1611,Contactado,WhatsApp,2025-11-01
467,729,Contactado,Llamada,2024-02-20
468,383,Promesa de pago,Llamada,2024-07-05
469,40,No responde,Email,2024-06-23
470,231,Número incorrecto,WhatsApp,2025-11-07
471,1790,Número incorrecto,Llamada,2025-08-28
472,1558,Número incorrecto,Llamada,2025-02-02
473,366,No responde,Email,2024-04-29
474,910,Número incorrecto,WhatsApp,2025-01-30
475,495,Contactado,Llamada,2024-08-14
476,1632,No responde,Llamada,2025-06-15
477,680,Promesa de pago,WhatsApp,2025-10-26
478,422,Promesa de pago,Llamada,2024-09-27
479,27,No responde,SMS,2024-06-24
480,567,Número incorrecto,Email,2025-07-01
481,1153,No responde,Email,2024-09-20
482,1799,Contactado,Email,2024-08-09
483,61,No responde,SMS,2025-03-28
484,1896,Promesa de pago,WhatsApp,2025-02-26
485,950,Contactado,WhatsApp,2025-07-07
486,343,No responde,SMS,2025-05-02
487,600,Promesa de pago,Email,2025-08-10
488,1659,No responde,Llamada,2025-03-31
489,1159,No responde,Llamada,2025-02-14
490,1547,No responde,SMS,2024-01-02
491,699,Promesa de pago,WhatsApp,2024-05-10
492,1876,Promesa de pago,Llamada,2024-01-29
493,135,Número incorrecto,Email,2025-03-08
494,1274,Número incorrecto,Email,2025-06-29
495,531,Promesa de pago,Email,2025-05-20
496,821,Contactado,Email,2024-07-07
497,1906,Promesa de pago,Llamada,2025-07-30
498,868,Contactado,WhatsApp,2025-05-11
499,232,Contactado,SMS,2024-01-14
500,1078,Número incorrecto,Email,2024-12-14
501,1977,Promesa de pago,SMS,2025-11-13
502,1310,Contactado,SMS,2023-12-03
503,1376,Número incorrecto,SMS,2025-02-05
504,1624,Promesa de pago,Llamada,2025-01-04
505,997,Número incorrecto,Llamada,2025-06-23
506,1561,Promesa de pago,SMS,2025-10-18
507,375,Número incorrecto,Llamada,2025-07-31
508,623,Contactado,WhatsApp,2024-04-23
509,1411,No responde,Email,2025-09-21
510,610,Promesa de pago,Email,2024-10-07
511,318,Contactado,SMS,2023-12-22
512,1702,No responde,Llamada,2025-10-30
513,808,No responde,SMS,2024-01-21
514,500,Promesa de pago,WhatsApp,2025-05-06
515,177,Contactado,WhatsApp,2023-12-07
516,420,Contactado,WhatsApp,2025-03-08
517,1521,Contactado,SMS,2025-11-14
518,825,Número incorrecto,Email,2024-06-18
519,646,Promesa de pago,WhatsApp,2024-03-23
520,768,Número incorrecto,WhatsApp,2024-12-27
521,1936,Contactado,WhatsApp,2024-11-27
522,1865,Número incorrecto,WhatsApp,2025-04-16
523,466,Número incorrecto,WhatsApp,2024-08-27
524,1267,Número incorrecto,Email,2024-12-03
525,108,Promesa de pago,Email,2024-02-23
526,816,Número incorrecto,Llamada,2024-01-05
527,200,No responde,Email,2024-10-29
528,1862,Contactado,Email,2024-02-07
529,490,Contactado,SMS,2025-06-10
530,381,Contactado,SMS,2025-10-19
531,1207,Promesa de pago,Llamada,2024-05-08
532,1975,Contactado,WhatsApp,2025-03-25
533,404,No responde,WhatsApp,2025-07-31
534,600,Contactado,WhatsApp,2024-07-23
535,659,Número incorrecto,SMS,2024-02-17
536,138,Contactado,SMS,2024-05-05
537,374,Número incorrecto,SMS,2025-08-02
538,1644,No responde,Llamada,2024-06-15
539,285,Número incorrecto,Email,2025-05-12
540,819,No responde,Llamada,2025-07-14
541,776,Promesa de pago,SMS,2024-08-06
542,1513,Promesa de pago,Email,2025-07-08
543,1605,Número incorrecto,WhatsApp,2025-04-15
544,47,No responde,SMS,2025-05-13
545,402,Número incorrecto,Llamada,2025-01-02
546,1010,No responde,Llamada,2024-12-20
547,1093,Promesa de pago,Llamada,2024-09-08
548,1518,Contactado,WhatsApp,2024-11-19
549,771,Contactado,Llamada,2023-11-29
550,414,Número incorrecto,SMS,2024-10-17
551,407,No responde,SMS,2023-12-07
552,758,Número incorrecto,WhatsApp,2024-12-05
553,1007,Promesa de pago,SMS,2024-05-03
554,1411,Promesa de pago,Llamada,2025-05-17
555,884,Contactado,WhatsApp,2024-05-17
556,23,Número incorrecto,SMS,2024-12-26
557,68,Número incorrecto,WhatsApp,2023-11-25
558,911,Contactado,WhatsApp,2025-04-27
559,1771,Contactado,SMS,2024-05-27
560,150,Promesa de pago,Email,2024-08-04
561,211,Promesa de pago,SMS,2025-04-08
562,1477,Número incorrecto,Email,2024-06-06
563,1983,Contactado,SMS,2025-01-05
564,1296,Promesa de pago,Llamada,2025-08-13
565,785,No responde,Llamada,2025-01-23
566,1659,No responde,SMS,2025-09-02
567,519,No responde,Email,2025-11-06
568,618,Contactado,WhatsApp,2025-09-28
569,330,Promesa de pago,Llamada,2024-10-20
570,1468,Contactado,Llamada,2024-12-01
571,1126,No responde,Email,2024-12-31
572,16,Contactado,Email,2024-12-31
573,1057,No responde,Llamada,2024-07-26
574,50,Número incorrecto,SMS,2024-08-09
575,675,Número incorrecto,Llamada,2025-10-26
576,1505,Número incorrecto,WhatsApp,2025-01-19
577,1242,Promesa de pago,SMS,2023-12-23
578,57,Número incorrecto,WhatsApp,2024-04-11
579,1192,No responde,WhatsApp,2024-06-12
580,1572,Promesa de pago,Llamada,2023-12-26
581,709,No responde,Email,2024-06-15
582,1474,No responde,WhatsApp,2023-12-13
583,500,Contactado,Llamada,2024-06-07
584,60,Promesa de pago,WhatsApp,2024-09-27
585,1070,Promesa de pago,WhatsApp,2024-11-14
586,1971,Número incorrecto,Email,2025-09-26
587,1227,Promesa de pago,SMS,2024-10-01
588,1695,Promesa de pago,Email,2024-02-03
589,1145,Contactado,Email,2025-11-04
590,1290,No responde,Email,2024-08-20
591,1864,Contactado,Llamada,2025-09-26
592,374,Número incorrecto,Email,2024-08-08
593,1407,Contactado,WhatsApp,2024-10-29
594,1177,Contactado,Llamada,2024-04-07
595,526,Promesa de pago,SMS,2024-12-06
596,973,Número incorrecto,WhatsApp,2025-08-14
597,1337,Contactado,SMS,2024-11-04
598,1820,Promesa de pago,WhatsApp,2025-01-08
599,380,No responde,WhatsApp,2025-08-18
600,336,No responde,SMS,2025-08-17
601,1458,No responde,Email,2025-03-04
602,1181,Número incorrecto,Email,2024-02-17
603,1064,Contactado,SMS,2025-01-31
604,646,No responde,WhatsApp,2025-06-05
605,1955,No responde,WhatsApp,2025-04-12
606,1274,Promesa de pago,WhatsApp,2025-09-13
607,1709,Contactado,Llamada,2025-01-12
608,1769,Contactado,SMS,2025-04-06
609,826,No responde,WhatsApp,2024-02-15
610,868,Contactado,SMS,2025-08-23
611,515,No responde,SMS,2025-01-22
612,974,No responde,Llamada,2025-07-26
613,432,Promesa de pago,SMS,2025-06-20
614,14,Contactado,WhatsApp,2023-12-09
615,124,Número incorrecto,SMS,2024-07-09
616,1143,Número incorrecto,WhatsApp,2024-11-10
617,237,No responde,WhatsApp,2025-03-11
618,1541,Promesa de pago,SMS,2024-02-06
619,1383,No responde,Llamada,2024-09-08
