promesa_id,customer_id,debt_id,monto_prometido,fecha_promesa
137,1473,2903,719.02,2025-06-13
138,1000,3157,3833.18,2025-10-06
139,1190,1648,3412.5,2025-05-23
140,709,1960,2712.92,2024-12-06
141,1835,797,3652.54,2025-03-05
142,1862,945,4588.88,2025-04-13
143,1864,635,4845.86,2025-09-19
144,1964,429,2305.8,2024-12-01
145,106,2767,4632.99,2025-03-21
146,351,2685,4345.0,2025-04-16
147,1829,360,4860.19,2025-10-18
148,1303,1764,3748.36,2025-06-02
149,774,164,345.32,2024-12-04
150,1525,1955,1390.03,2025-05-26
151,817,4088,3246.94,2025-07-10
152,1638,815,1867.17,2025-03-18
153,1192,4039,916.4,2024-11-17
154,1889,162,3995.07,2024-12-07
155,801,464,1393.07,2024-12-13
156,1088,2853,324.91,2025-09-14
157,790,806,2983.37,2025-01-04
158,1019,3611,2839.57,2025-07-25
159,838,1124,274.82,2025-04-06
160,1156,3742,1913.24,2025-08-13
161,1898,475,1785.6,2025-02-15
162,332,2970,2383.95,2025-05-15
163,956,1162,4606.45,2025-03-21
164,1716,4276,3298.38,2025-08-09
165,1409,2346,1410.48,2025-02-13
166,83,3191,2950.52,2025-01-14
167,1220,2519,4384.62,2025-10-18
168,1357,1190,1197.48,2025-10-15
169,646,590,4251.42,2025-11-05
170,1930,886,2341.48,2025-06-13
171,1506,3989,2811.85,2025-09-03
172,1150,1092,1068.57,2025-07-10
173,1942,1232,1398.37,2024-12-31
174,775,871,2548.26,2024-11-30
175,758,518,4252.37,2025-07-31
176,1681,3049,1106.69,2025-08-29
177,1629,1735,3087.66,2024-12-08
178,1315,2192,2231.41,2024-11-19
179,188,364,3252.86,2025-08-28
180,1492,558,3978.67,2025-04-17
181,855,3834,4210.01,2025-07-17
182,1967,3649,1825.5,2024-12-28
183,782,4470,112.25,2024-11-30
184,1271,525,1030.4,2025-06-01
185,1732,2450,728.32,2025-10-15
186,28,4445,1009.74,2025-06-04
187,1426,3702,842.0,2024-12-21
188,1641,3707,2711.75,2025-04-22
189,838,431,3735.82,2024-12-19
190,1041,2437,2944.55,2025-01-22
191,123,906,2523.12,2025-02-18
192,1817,151,815.35,2025-07-07
193,1059,3201,2936.38,2025-03-30
194,1437,837,4339.31,2025-10-27
195,273,3878,952.3,2025-10-31
196,1259,4483,3728.44,2025-06-02
197,183,885,296.94,2025-03-26
198,1502,1448,4023.61,2025-07-23
199,1771,1207,4791.05,2024-11-23
200,1183,440,4957.12,2025-08-23
201,558,1415,912.27,2025-08-02
202,801,2635,2773.21,2024-11-29
203,19,3593,856.14,2025-06-05
204,1105,1744,4596.0,2025-11-08
205,715,807,3969.12,2025-03-11
206,88,1981,4200.71,2025-08-14
207,233,1629,3636.98,2025-05-28
208,1912,3332,1842.22,2025-06-05
209,902,2782,1933.81,2025-03-22
210,1368,2553,1878.43,2025-05-22
211,1657,56,1467.86,2025-09-22
212,583,2809,675.56,2025-04-21
213,105,1868,2394.17,2025-04-22
214,868,4487,444.23,2025-08-16
215,465,1203,4758.1,2025-04-16
216,881,2297,4829.2,2024-11-20
217,859,3796,4180.84,2025-03-25
218,1863,2646,3318.95,2025-07-17
219,735,1426,4236.42,2025-10-02
220,102,438,1612.33,2025-05-15
221,1741,917,1874.45,2025-02-07
222,986,3116,3451.56,2025-05-14
223,1388,4252,3430.68,2025-06-11
224,477,3460,1029.82,2024-12-25
225,1457,1895,1650.91,2025-04-21
226,531,258,2101.24,2024-12-21
227,90,1311,3818.86,2025-05-14
228,616,3123,3495.11,2025-03-03
229,1427,228,2648.41,2024-12-06
230,713,4206,2118.43,2025-03-20
231,323,215,1823.38,2025-11-08
232,680,1282,3306.05,2025-02-08
233,1263,1970,3554.99,2025-08-24
234,1237,3722,3820.99,2025-09-02
235,663,4270,3126.11,2025-08-23
236,1862,3704,4311.16,2025-01-28
237,355,3282,454.74,2025-02-05
238,1624,2076,4452.01,2025-11-04
239,1976,4151,607.81,2025-07-09
240,1186,3396,3987.36,2025-07-02
241,858,3583,625.48,2025-03-31
242,769,383,740.65,2025-06-21
243,4,2467,1933.11,2025-06-09
244,896,757,4191.26,2025-04-16
245,1417,1678,2064.0,2025-04-26
246,974,1378,3287.51,2025-10-07
247,1057,2487,2971.24,2025-05-09
248,1518,80,4136.02,2024-12-17
249,261,1130,3102.43,2025-06-18
250,1406,1481,328.96,2025-01-17
251,1659,158,236.6,2025-07-07
252,1234,3453,2428.95,2025-11-04
253,994,4266,4492.48,2025-10-15
254,1298,4247,3886.11,2025-03-23
255,1239,1038,3748.62,2025-08-19
256,206,561,4879.51,2025-04-07
257,457,881,1817.35,2025-06-15
258,475,3657,1838.1,2024-11-23
259,1492,1547,4753.8,2025-08-19
260,1777,2468,1936.0,2025-07-11
261,1991,3737,613.53,2025-07-16
262,441,3119,2530.63,2025-02-04
263,43,1066,3876.37,2025-09-08
264,1654,876,1507.85,2025-07-11
265,339,2041,1949.59,2024-12-26
266,162,1717,1624.19,2024-11-30
267,630,1928,1383.63,2024-11-28
268,596,3706,1478.56,2025-03-20
269,1569,2974,4085.11,2025-05-18
270,1437,2511,1360.14,2025-03-31
271,290,4118,2518.58,2025-03-04
272,364,4252,823.83,2025-03-30
273,501,3210,4090.56,2025-03-31
274,1213,145,4077.33,2025-03-10
275,1488,2606,3069.49,2025-10-23
276,101,1940,3408.0,2025-04-14
277,1830,439,682.57,2024-11-25
278,128,306,2069.05,2024-11-28
279,562,439,761.3,2025-06-13
280,768,1597,1644.47,2025-03-19
281,1682,1128,854.29,2025-06-20
282,1185,3632,2546.48,2025-08-14
283,1804,444,2125.19,2025-06-08
284,241,2321,1464.61,2025-04-12
285,19,2229,3370.52,2025-04-05
286,265,1170,1046.93,2025-07-31
287,1257,2285,2961.03,2025-06-06
288,1356,2474,1005.47,2025-03-24
289,835,2867,2735.42,2024-12-13
290,1736,3811,2354.66,2025-07-21
291,103,927,2605.43,2025-07-29
292,1866,1621,2320.45,2025-03-15
293,778,77,4744.13,2025-03-24
294,1267,1547,297.32,2025-01-31
295,1407,937,4315.82,2025-10-12
296,652,2731,2009.93,2025-10-13
297,549,649,236.3,2025-11-16
298,1044,2474,199.69,2024-12-06
299,369,2350,1440.67,2025-04-26
300,1024,2730,1209.39,2025-04-01
301,1544,2185,3428.05,2025-03-10
302,448,3889,1761.15,2025-04-14
303,1905,573,857.17,2025-10-15
304,1539,2714,580.17,2024-12-31
305,38,1650,4270.6,2025-01-03
306,622,2669,1898.27,2025-10-14
307,1471,3398,4795.3,2025-08-22
308,1702,503,907.05,2025-02-28
309,1105,975,3116.74,2025-02-05
310,905,15,3736.38,2025-10-25
311,1069,456,1713.48,2025-11-07
312,1881,3611,4752.18,2025-11-13
313,1386,3709,1433.94,2025-02-02
314,1657,1428,2408.95,2025-11-06
315,1457,3944,1882.49,2024-12-09
316,818,2542,4463.73,2025-04-30
317,1029,4024,3460.32,2024-12-09
318,940,3795,4765.17,2025-03-17
319,1054,1417,3127.96,2025-02-23
320,1997,4334,2159.15,2025-03-28
321,987,1743,682.24,2025-01-26
322,50,1817,974.96,2025-08-30
323,1887,3624,4014.96,2025-04-29
324,1530,1617,3147.83,2024-11-30
325,625,1986,1205.71,2025-02-25
326,1562,3044,3638.2,2024-12-23
327,1571,277,1302.38,2025-02-19
328,1547,2159,4073.16,2024-12-22
329,571,782,4149.16,2025-08-15
330,630,3480,1385.36,2025-02-01
331,938,4184,621.45,2025-10-09
332,800,3466,4038.59,2025-07-19
333,1690,1227,4678.91,2025-11-01
334,1647,665,4406.38,2025-03-27
335,1988,1847,4319.61,2025-05-30
336,459,2030,2647.12,2025-08-06
337,805,1327,2418.45,2025-07-24
338,1879,1943,630.13,2025-06-20
339,1329,4138,747.08,2025-07-19
340,1341,1484,3320.56,2025-09-30
341,1810,2593,931.28,2025-10-03
342,520,3496,495.66,2025-09-04
343,395,942,1751.59,2025-02-10
344,1746,785,4032.13,2025-08-05
345,1802,1961,1018.25,2025-02-06
346,1045,2308,4873.03,2024-11-16
347,374,2005,2261.11,2025-09-15
348,747,2302,3864.67,2025-03-28
349,970,1172,2527.0,2024-12-23
350,526,3013,2365.73,2025-09-19
351,1092,1341,1752.82,2025-03-17
352,532,1972,650.27,2025-03-11
353,1006,3370,2746.14,2025-04-26
354,1446,791,3125.55,2025-01-16
355,363,2450,2366.67,2025-09-03
356,861,2876,511.64,2025-03-28
357,1670,472,4046.91,2025-05-07
358,759,974,3306.97,2025-10-22
359,120,1540,1850.51,2025-05-18
360,495,1841,667.66,2025-01-27
361,389,3517,2291.69,2025-10-06
362,1386,2335,2875.45,2025-06-18
363,571,935,4640.22,2025-03-04
364,1897,3266,3577.71,2025-03-11
365,467,249,3933.42,2025-06-19
366,1016,1751,968.96,2025-08-03
367,1418,4101,3014.51,2025-10-05
368,880,375,3590.61,2025-10-26
369,1914,3951,1664.5,2025-08-22
370,1910,4318,2431.11,2025-01-27
371,1437,3672,1825.98,2025-03-30
372,1524,1265,3017.31,2025-11-11
373,151,3695,4953.26,2025-03-06
374,1506,4101,3321.65,2025-06-06
375,516,791,3600.32,2024-12-23
376,126,591,814.56,2025-08-27
377,846,245,1372.96,2025-01-25
378,1437,1933,1124.48,2025-11-12
379,634,1719,2091.02,2025-06-28
380,188,2035,3537.57,2025-11-08
381,1359,3061,1450.07,2025-03-26
382,1431,2793,2322.84,2025-02-04
383,1604,3401,4925.81,2025-05-07
384,582,678,1123.67,2025-08-10
385,257,1705,4939.94,2025-01-07
386,856,2019,3823.51,2025-01-23
387,1315,123,3181.95,2025-09-20
388,261,1584,1902.28,2025-01-09
389,974,1884,3869.05,2025-07-28
390,54,3432,227.44,2025-10-30
391,1432,3597,2849.12,2025-02-09
392,1080,548,4908.69,2025-06-10
393,957,548,4879.75,2025-04-15
394,1586,2688,3340.69,2025-07-11
395,1045,1717,3479.78,2025-09-15
396,1132,3584,1372.21,2024-12-31
397,976,3227,2547.46,2025-01-04
398,400,3662,1176.22,2025-10-01
399,1231,4326,1175.85,2024-12-20
400,393,1461,1370.44,2025-05-10
401,282,982,1335.49,2024-12-23
402,535,2420,1027.11,2025-09-28
403,1798,3150,4867.38,2025-06-20
404,598,1933,4335.41,2025-06-17
405,1417,4128,3357.86,2025-06-29
406,948,2083,4035.61,2025-03-12
407,210,3167,2826.44,2024-11-24
408,1331,1024,4048.35,2025-10-14
409,600,2424,2457.14,2025-06-29
410,1548,12,4145.71,2025-05-11
411,1623,2655,3630.08,2025-06-12
412,704,1461,2859.41,2025-02-20
413,950,3613,113.17,2025-02-23
414,163,1337,2088.16,2025-02-10
415,1156,358,3419.64,2025-06-08
416,1325,1472,1659.01,2025-04-12
417,1113,1244,3113.3,2025-10-20
418,1397,512,137.33,2025-02-04
419,659,616,1603.09,2025-07-30
420,1164,2006,4508.82,2025-02-27
421,1941,1660,76.74,2025-04-17
422,963,2723,2651.09,2025-09-11
423,565,383,4692.76,2025-06-07
424,127,630,3107.39,2025-06-06
425,394,2238,220.67,2025-05-13
426,1594,1377,3130.24,2025-08-09
427,1936,1288,1016.72,2025-06-03
428,222,1630,4987.61,2025-01-18
429,1714,180,3634.14,2025-03-17
430,916,3206,4970.72,2025-05-14
431,90,3902,3860.95,2024-12-23
432,72,2144,1515.72,2025-05-23
433,1659,917,2892.36,2025-01-23
434,1586,193,2117.57,2025-07-16
435,1698,1135,207.2,2025-07-15
436,668,3332,3448.68,2025-02-04
437,46,2410,4751.82,2025-03-06
438,1234,808,3087.38,2025-07-18
439,1173,1789,196.92,2025-10-30
440,1634,3402,3842.58,2025-10-27
441,878,1738,2112.26,2025-06-24
442,835,4299,4291.83,2025-03-13
443,409,2225,4954.17,2025-11-15
444,1853,1583,1482.38,2025-08-27
445,538,4490,3964.07,2024-12-23
446,1211,563,52.44,2025-05-25
447,1616,4290,1459.46,2025-05-14
448,1672,3181,2405.22,2024-11-24
449,1032,3661,4483.25,2025-05-06
450,643,1048,3737.67,2025-09-17
451,52,2391,4170.73,2025-05-07
452,1151,3374,2454.94,2025-06-02
453,1185,3645,1858.23,2025-06-06
454,1158,3769,1821.41,2025-05-03
455,1834,2979,669.36,2025-07-02
456,1152,910,4360.57,2025-07-15
457,1112,3300,4292.81,2024-12-12
458,155,401,1762.3,2025-02-14
459,1001,2195,3579.51,2024-12-15
460,745,1747,1134.68,2025-06-21
461,1673,3923,951.5,2025-09-29
462,567,3292,1022.53,2025-11-03
463,807,884,3453.14,2025-04-03
464,1987,2013,4326.29,2025-11-11
465,1511,354,3538.94,2025-08-12
466,721,964,2311.98,2025-08-03
467,1755,186,1527.7,2025-02-18
468,1363,3767,306.74,2025-10-03
469,64,2158,2915.9,2025-05-12
470,1955,349,3025.06,2025-08-23
471,647,2003,3075.27,2025-11-10
472,727,1251,1341.72,2025-02-04
473,1318,2339,1982.05,2024-12-31
474,128,1568,281.72,2024-12-10
475,56,584,1149.22,2025-10-08
476,585,1564,4754.68,2025-07-14
477,492,207,3432.98,2024-12-22
478,1326,1345,320.46,2024-12-10
479,82,1300,4964.4,2025-02-11
480,20,1100,3399.22,2025-11-11
481,602,3736,4342.74,2025-10-09
482,116,3800,3672.71,2025-07-07
483,1431,2816,4331.89,2025-01-23
484,471,3904,306.3,2025-11-11
485,1150,4186,3426.11,2025-03-30
486,1009,2790,4647.01,2025-05-24
487,1860,414,3732.06,2025-05-14
488,98,1607,1853.49,2025-06-29
489,776,3627,2726.06,2025-04-01
490,810,503,4670.92,2025-07-18
491,1719,3947,170.1,2025-02-16
492,83,3669,1929.83,2025-05-31
493,1727,3237,1394.42,2025-09-10
494,598,554,4425.92,2025-07-26
495,503,2314,1045.75,2025-10-26
496,1970,1253,1175.34,2025-07-15
497,1387,3990,3887.23,2025-02-07
498,1073,2971,448.6,2024-12-21
499,1109,3422,2266.98,2025-08-27
500,924,3774,1476.35,2025-09-29
501,1664,3947,4682.37,2025-06-22
502,338,1895,226.73,2025-03-06
503,1088,4204,1860.13,2024-12-27
504,234,2148,2090.48,2025-08-31
505,1408,2841,2121.98,2025-05-19
506,1316,4428,1190.1,2024-11-28
507,1347,2110,889.7,2025-04-08
508,1096,677,2814.88,2025-07-06
509,449,2959,1153.46,2025-02-14
510,480,1231,273.86,2025-07-23
511,1220,798,2748.99,2025-05-08
512,302,215,3275.01,2025-04-22
513,1576,3138,178.21,2025-02-03
514,1172,2645,3833.53,2024-11-23
515,920,712,3401.45,2025-06-30
516,828,4496,114.06,2025-02-28
517,651,67,109.77,2025-04-24
518,1324,2586,109.83,2025-10-23
519,815,978,3674.42,2025-07-22
520,467,4085,2842.45,2025-01-08
521,1414,2225,4435.66,2025-03-02
522,1463,788,2117.05,2025-08-05
523,211,3879,4832.1,2025-06-02
524,900,2176,2975.0,2024-12-24
525,438,3254,2582.28,2025-01-15
526,267,2390,2068.07,2025-08-11
527,628,3517,2159.96,2025-01-21
528,740,2946,1406.54,2025-10-05
529,1717,2152,3517.28,2025-07-29
530,1673,4490,1811.79,2025-01-20
531,1408,772,4132.8,2025-11-03
532,506,3832,3658.89,2025-06-18
533,1334,1316,3665.52,2025-03-05
534,442,3719,1454.56,2025-08-04
535,1060,3288,2066.18,2025-03-09
536,619,5,1690.02,2025-03-18
537,1633,4432,1484.64,2025-02-03
538,195,233,4455.78,2025-02-01
539,413,3210,3051.84,2025-07-23
540,1203,1344,3651.12,2025-07-14
541,1341,3236,3055.77,2024-12-06
542,677,4058,4388.0,2025-01-26
543,528,126,4002.95,2025-04-03
544,655,4459,3742.28,2024-12-12
545,1908,944,900.86,2025-04-24
546,172,3456,451.32,2025-08-12
547,1760,3108,2704.76,2025-05-17
548,112,957,1515.29,2025-03-19
549,1886,138,1507.15,2025-05-22
550,399,195,804.03,2025-04-30
551,1583,2392,4540.85,2025-05-15
552,607,3314,385.29,2025-08-10
553,280,2082,4107.52,2025-03-22
554,1084,1999,1020.47,2025-03-30
555,744,2888,1231.46,2025-03-03
556,1049,35,694.97,2025-03-04
557,1501,1808,199.72,2025-02-16
558,474,30,2076.34,2025-03-31
559,94,1537,4025.26,2025-09-06
560,1655,2208,2728.36,2024-12-28
561,1058,1008,3930.69,2025-05-18
562,1720,2738,3664.57,2024-12-18
563,445,2727,758.43,2025-09-14
564,169,2882,1024.12,2025-09-12
565,1340,406,4122.07,2025-05-23
566,1024,378,3495.84,2025-09-13
567,346,2517,843.17,2025-02-15
568,1356,515,4368.72,2025-01-20
569,392,2989,4029.97,2025-10-21
570,506,1769,4638.84,2025-07-09
571,1304,1161,1951.51,2025-03-31
572,442,4288,1768.88,2025-07-21
573,203,3445,2011.28,2025-02-15
574,753,1465,2691.16,2025-11-12
575,728,4064,4693.39,2024-11-17
576,928,25,4924.01,2025-10-16
577,675,1191,4285.9,2025-07-20
578,1060,1722,410.58,2025-03-12
579,1631,412,293.37,2025-07-11
580,1272,1354,4480.74,2024-12-05
581,679,106,792.81,2024-12-24
582,1290,4201,1484.41,2025-08-03
583,1040,1898,2840.29,2025-01-25
584,1852,2547,2561.25,2025-01-28
585,1476,2611,2601.94,2025-10-20
586,1324,4246,3737.73,2025-08-19
587,758,3022,2141.46,2025-04-17
588,1885,374,1249.16,2025-10-25
589,1933,1777,136.31,2025-05-15
590,1932,554,4870.62,2025-09-02
591,1585,2531,1728.81,2024-12-09
592,1007,2897,4494.24,2025-09-02
593,366,3658,1598.64,2025-08-16
594,1687,2237,2700.22,2025-04-13
595,886,3157,4111.95,2025-10-10
596,483,2230,2162.26,2025-06-24
597,1,1343,1390.42,2025-08-10
598,1447,16,2888.5,2025-06-18
599,104,1316,1363.19,2024-12-16
600,1848,1459,717.58,2025-09-12
601,1624,528,4283.37,2025-09-20
602,274,500,2518.72,2025-05-24
603,1583,388,3508.82,2025-10-09
604,819,3113,2455.04,2025-08-02
605,1924,3064,387.9,2025-02-05
606,224,661,459.95,2025-05-01
607,269,1815,298.71,2024-12-20
608,352,1876,3639.34,2025-09-20
609,849,742,2420.1,2025-04-22
610,1696,457,2784.43,2025-11-03
611,1449,4037,1389.32,2025-05-02
612,1653,23,1727.18,2025-06-26
613,1761,1054,3343.31,2025-09-29
614,939,2243,538.37,2025-02-14
615,373,776,1413.93,2025-01-01
616,674,802,4117.3,2025-09-06
617,1766,601,2159.23,2025-11-02
618,1695,2553,80.71,2025-06-21
619,407,3849,1139.42,2025-02-20
620,142,2663,1385.85,2025-03-18
621,1510,2716,3974.85,2025-02-26
622,453,1746,1946.84,2025-01-19
623,750,3061,3385.81,2025-09-30
624,269,189,4542.65,2025-05-03
625,1176,4254,4069.26,2024-12-14
626,1800,3709,4179.5,2024-12-20
627,355,2599,4182.42,2025-04-02
628,310,847,3637.57,2025-02-07
629,1767,1936,3100.79,2025-03-01
630,1554,723,513.37,2025-02-21
631,1251,4136,1324.08,2025-08-16
632,1451,1909,1518.14,2025-02-26
633,735,3737,666.27,2025-05-12
634,1717,4000,4471.7,2025-03-20
635,926,3052,4187.82,2025-06-06
636,83,1692,3920.61,2025-07-08
637,664,1435,4621.41,2024-12-21
638,1634,877,4904.01,2025-02-06
639,726,2820,1231.7,2025-01-25
640,1725,2441,3340.47,2025-06-19
641,417,1429,4408.08,2025-11-10
642,1383,1195,2936.63,2025-02-20
643,388,289,2567.26,2025-07-03
644,1736,2620,839.66,2025-09-05
645,1281,4453,1766.29,2025-01-10
646,1807,366,2449.67,2025-01-13
647,243,2722,3695.5,2025-04-20
648,1024,2251,1378.24,2025-07-19
649,1902,2547,2431.38,2025-10-30
650,487,1906,3078.69,2025-06-03
651,529,1394,2257.07,2025-05-12
652,270,936,1791.98,2024-12-15
653,1720,3559,1496.41,2025-10-27
654,512,4443,1673.33,2025-01-02
655,1554,2204,4427.84,2025-11-16
656,1608,2476,1455.74,2025-10-08
657,461,154,2739.25,2025-09-05
658,1140,3437,3250.7,2025-10-19
659,1844,2178,178.65,2025-07-01
660,916,381,253.35,2025-01-21
661,1983,1723,2440.01,2025-01-06
662,1529,2441,1365.05,2025-08-16
663,375,3989,3247.44,2025-07-20
664,1638,2249,2081.39,2025-01-16
665,1681,29,441.09,2025-03-17
666,270,1947,3226.55,2025-05-22
667,140,4018,2394.9,2024-12-03
668,254,4175,1971.79,2025-08-06
669,1009,578,1803.2,2025-01-30
670,1903,871,4337.35,2025-06-18
671,389,546,1011.71,2025-02-02
672,1330,4158,634.39,2025-02-05
673,1708,2458,4315.06,2025-05-21
674,803,1539,508.25,2025-04-27
675,1364,66,1775.42,2024-11-24
676,624,1319,3973.27,2025-01-15
677,1492,659,892.6,2025-05-23
678,78,844,2296.32,2025-01-07
679,657,1741,1776.38,2025-08-07
680,1528,4379,2485.14,2025-02-13
681,367,3922,1921.2,2025-05-15
682,503,2989,2285.5,2025-10-17
683,722,2349,2169.55,2025-04-11
684,1582,3503,1705.94,2025-10-26
685,1729,892,657.97,2024-11-23
686,766,2275,4013.9,2025-09-28
687,1025,1319,2334.44,2025-06-05
688,687,4258,862.74,2025-06-09
689,1638,2038,764.97,2025-11-09
690,1332,25,754.38,2025-07-15
691,1204,3572,3959.36,2025-11-14
692,208,1870,1659.89,2025-10-24
693,1808,1125,2751.38,2025-07-02
694,404,4167,2564.31,2025-03-31
695,702,1782,279.9,2025-11-10
696,1094,2295,1586.89,2025-07-11
697,195,1282,2257.56,2025-07-08
698,717,3112,3348.76,2025-08-22
699,1758,569,2149.39,2025-03-02
700,1846,1859,1887.05,2025-08-07
701,1027,1803,431.56,2025-02-24
702,1139,1586,4473.08,2025-10-04
703,888,2318,4189.58,2025-08-20
704,393,504,3348.43,2025-09-09
705,1076,3212,2026.34,2025-03-14
706,1952,4012,3502.02,2025-03-11
707,338,3927,3086.46,2025-02-26
708,817,1142,1775.19,2025-10-06
709,526,1326,4374.57,2025-07-25
710,1689,2028,1555.17,2025-03-11
711,21,178,4299.6,2025-03-23
712,433,4346,1086.95,2025-04-29
713,1329,3791,4586.41,2024-12-30
714,381,3684,3750.78,2024-12-25
715,1156,1062,4337.71,2025-09-16
716,865,745,2065.29,2025-10-07
717,1526,44,868.02,2025-09-19
718,1513,3796,3180.28,2025-03-23
719,1104,862,3803.69,2025-01-16
720,1337,2519,134.76,2025-03-10
721,1368,1266,961.78,2025-01-18
722,1349,1184,1601.86,2025-10-29
723,733,1361,4245.81,2025-05-28
724,1558,90,1946.86,2024-12-08
725,1725,495,636.56,2025-04-25
726,77,316,482.62,2025-09-16
727,1320,3221,137.6,2025-08-30
728,1404,4441,1423.05,2025-07-10
729,1066,2888,352.4,2025-08-28
730,1906,2239,2084.66,2025-07-15
